current_delay,distance_remaining,stops_remaining,congestion,weather,hour,day_of_week,additional_delay
5,20,2,0,0,10,1,2
8,35,4,1,0,11,1,4
12,50,6,1,0,12,1,5
15,65,7,2,1,13,1,8
18,72,8,2,1,15,2,9
22,90,10,2,0,16,2,11
25,110,12,3,1,17,2,15
10,40,5,0,0,9,3,3
7,25,3,1,0,10,3,3
14,55,6,2,0,12,3,7
20,80,9,2,1,14,3,10
28,120,14,3,1,17,3,18
4,15,1,0,0,8,4,1
9,30,3,1,0,10,4,4
16,60,7,2,1,13,4,8
19,75,8,2,1,15,4,10
24,100,11,3,1,17,4,16
6,22,2,0,0,9,5,2
11,45,5,1,0,11,5,5
17,70,8,2,1,14,5,9
23,95,10,3,1,16,5,14
30,130,15,3,1,18,5,20
